phase,container,cpu_pct,mem_mb
idle,vp-agent,0.00,177.9
idle,vp-agg,0.00,150.5
idle,vp-agent,0.00,177.9
idle,vp-agg,0.00,150.5
idle,vp-agent,1.41,184.2
idle,vp-agg,0.11,150.6
idle,vp-agent,1.41,184.2
idle,vp-agg,0.11,150.6
idle,vp-agent,1.07,184.3
idle,vp-agg,0.31,152.6
idle,vp-agent,1.07,184.3
idle,vp-agg,0.31,152.6
idle,vp-agent,1.08,186.3
idle,vp-agg,0.35,155.1
idle,vp-agent,1.08,186.3
idle,vp-agg,0.35,155.1
idle,vp-agent,1.20,186.4
idle,vp-agg,0.28,155.5
idle,vp-agent,1.20,186.4
idle,vp-agg,0.28,155.5
idle,vp-agent,1.31,186.9
idle,vp-agg,0.19,155.1
idle,vp-agent,1.31,186.9
idle,vp-agg,0.19,155.1
idle,vp-agent,1.10,186.9
idle,vp-agg,0.17,155.1
idle,vp-agent,1.10,186.9
idle,vp-agg,0.17,155.1
idle,vp-agent,1.10,186.9
idle,vp-agg,0.17,155.1
idle,vp-agent,1.20,187.2
idle,vp-agg,0.47,155.7
idle,vp-agent,1.20,187.2
idle,vp-agg,0.47,155.7
idle,vp-agent,1.10,187.1
idle,vp-agg,0.37,155.7
load,vp-agent,0.00,189.1
load,vp-agg,0.00,155
load,vp-agent,0.00,189.1
load,vp-agg,0.00,155
load,vp-agent,1.05,189
load,vp-agg,0.24,155
load,vp-agent,1.05,189
load,vp-agg,0.24,155
load,vp-agent,1.14,189.3
load,vp-agg,0.38,155.7
load,vp-agent,1.14,189.3
load,vp-agg,0.38,155.7
load,vp-agent,1.03,189.3
load,vp-agg,0.22,155.5
load,vp-agent,1.03,189.3
load,vp-agg,0.22,155.5
load,vp-agent,1.26,189.3
load,vp-agg,0.20,155.3
load,vp-agent,1.26,189.3
load,vp-agg,0.20,155.3
load,vp-agent,1.20,189.3
load,vp-agg,0.19,155.2
load,vp-agent,1.20,189.3
load,vp-agg,0.19,155.2
load,vp-agent,58.36,296
load,vp-agg,146.07,237.1
load,vp-agent,58.36,296
load,vp-agg,146.07,237.1
load,vp-agent,58.36,296
load,vp-agg,146.07,237.1
load,vp-agent,1.42,296.2
load,vp-agg,4.67,242.8
load,vp-agent,1.42,296.2
load,vp-agg,4.67,242.8
load,vp-agent,1.16,296.2
load,vp-agg,6.79,249
load,vp-agent,1.16,296.2
load,vp-agg,6.79,249
load,vp-agent,40.89,327.8
load,vp-agg,10.19,251.2
load,vp-agent,40.89,327.8
load,vp-agg,10.19,251.2
load,vp-agent,40.89,327.8
load,vp-agg,10.19,251.2
load,vp-agent,1.57,330.1
load,vp-agg,108.31,267.9
load,vp-agent,1.57,330.1
load,vp-agg,108.31,267.9
load,vp-agent,1.19,329.8
load,vp-agg,0.47,267.9
load,vp-agent,1.19,329.8
load,vp-agg,0.47,267.9
load,vp-agent,1.01,329.8
load,vp-agg,1.07,265.2
load,vp-agent,1.01,329.8
load,vp-agg,1.07,265.2
load,vp-agent,29.32,355
load,vp-agg,11.28,265.5
load,vp-agent,29.32,355
load,vp-agg,11.28,265.5
load,vp-agent,21.04,348.2
load,vp-agg,92.20,277.9
load,vp-agent,21.04,348.2
load,vp-agg,92.20,277.9
load,vp-agent,1.41,348.2
load,vp-agg,0.25,277.9
load,vp-agent,1.41,348.2
load,vp-agg,0.25,277.9
load,vp-agent,1.41,348.2
load,vp-agg,0.25,277.9
load,vp-agent,1.04,347.9
load,vp-agg,1.38,274.1
load,vp-agent,1.04,347.9
load,vp-agg,1.38,274.1
