phase,container,cpu_pct,mem_mb
idle,vp-agent,0.00,149.1
idle,vp-agg,0.00,129.7
idle,vp-agent,0.00,149.1
idle,vp-agg,0.00,129.7
idle,vp-agent,0.23,151
idle,vp-agg,0.07,129.8
idle,vp-agent,0.23,151
idle,vp-agg,0.07,129.8
idle,vp-agent,0.32,150.9
idle,vp-agg,0.09,129.8
idle,vp-agent,0.32,150.9
idle,vp-agg,0.09,129.8
idle,vp-agent,0.15,150.9
idle,vp-agg,0.32,130.4
idle,vp-agent,0.15,150.9
idle,vp-agg,0.32,130.4
idle,vp-agent,0.12,151.2
idle,vp-agg,0.17,132.5
idle,vp-agent,0.12,151.2
idle,vp-agg,0.17,132.5
idle,vp-agent,0.12,151.2
idle,vp-agg,0.17,132.5
idle,vp-agent,0.12,151.2
idle,vp-agg,0.09,132.6
idle,vp-agent,0.12,151.2
idle,vp-agg,0.09,132.6
idle,vp-agent,0.37,156.1
idle,vp-agg,0.09,134.7
idle,vp-agent,0.37,156.1
idle,vp-agg,0.09,134.7
idle,vp-agent,0.16,156.1
idle,vp-agg,0.40,137.1
idle,vp-agent,0.16,156.1
idle,vp-agg,0.40,137.1
idle,vp-agent,0.11,156.2
idle,vp-agg,0.07,137.1
load,vp-agent,0.00,155.9
load,vp-agg,0.00,137.1
load,vp-agent,0.00,155.9
load,vp-agg,0.00,137.1
load,vp-agent,0.63,159
load,vp-agg,0.11,136.6
load,vp-agent,0.63,159
load,vp-agg,0.11,136.6
load,vp-agent,0.13,158.4
load,vp-agg,0.29,136.6
load,vp-agent,0.13,158.4
load,vp-agg,0.29,136.6
load,vp-agent,0.18,158.8
load,vp-agg,0.09,136.6
load,vp-agent,0.18,158.8
load,vp-agg,0.09,136.6
load,vp-agent,0.22,158
load,vp-agg,0.06,136.6
load,vp-agent,0.22,158
load,vp-agg,0.06,136.6
load,vp-agent,0.22,158
load,vp-agg,0.06,136.6
load,vp-agent,118.41,224.8
load,vp-agg,142.88,192.2
load,vp-agent,118.41,224.8
load,vp-agg,142.88,192.2
load,vp-agent,16.46,230
load,vp-agg,36.65,200.1
load,vp-agent,16.46,230
load,vp-agg,36.65,200.1
load,vp-agent,0.46,232.1
load,vp-agg,7.20,209.1
load,vp-agent,0.46,232.1
load,vp-agg,7.20,209.1
load,vp-agent,0.16,231.9
load,vp-agg,0.14,209.3
load,vp-agent,0.16,231.9
load,vp-agg,0.14,209.3
load,vp-agent,100.54,258.8
load,vp-agg,128.00,228.5
load,vp-agent,100.54,258.8
load,vp-agg,128.00,228.5
load,vp-agent,0.24,259
load,vp-agg,9.49,227.9
load,vp-agent,0.24,259
load,vp-agg,9.49,227.9
load,vp-agent,0.24,259
load,vp-agg,9.49,227.9
load,vp-agent,0.96,259.6
load,vp-agg,1.34,227.6
load,vp-agent,0.96,259.6
load,vp-agg,1.34,227.6
load,vp-agent,0.12,259.2
load,vp-agg,0.12,226.6
load,vp-agent,0.12,259.2
load,vp-agg,0.12,226.6
load,vp-agent,94.74,283
load,vp-agg,143.01,233.9
load,vp-agent,94.74,283
load,vp-agg,143.01,233.9
load,vp-agent,0.27,283
load,vp-agg,0.11,233
load,vp-agent,0.27,283
load,vp-agg,0.11,233
load,vp-agent,0.52,283
load,vp-agg,0.68,232.4
load,vp-agent,0.52,283
load,vp-agg,0.68,232.4
load,vp-agent,0.52,283
load,vp-agg,0.68,232.4
load,vp-agent,0.14,283.1
load,vp-agg,0.31,232.8
load,vp-agent,0.14,283.1
load,vp-agg,0.31,232.8
load,vp-agent,72.72,295.1
load,vp-agg,100.67,249
load,vp-agent,72.72,295.1
load,vp-agg,100.67,249
load,vp-agent,0.25,294.9
load,vp-agg,26.72,248.4
load,vp-agent,0.25,294.9
load,vp-agg,26.72,248.4
load,vp-agent,0.25,294.8
load,vp-agg,0.65,247.1
load,vp-agent,0.25,294.8
load,vp-agg,0.65,247.1
load,vp-agent,0.47,295.8
load,vp-agg,0.65,247.1
load,vp-agent,0.47,295.8
load,vp-agg,0.15,246.5
load,vp-agent,0.47,295.8
load,vp-agg,0.15,246.5
load,vp-agent,95.37,304.6
load,vp-agg,128.41,250.6
load,vp-agent,95.37,304.6
load,vp-agg,128.41,250.6
load,vp-agent,0.55,304.7
load,vp-agg,5.43,249.4
load,vp-agent,0.55,304.7
load,vp-agg,5.43,249.4
load,vp-agent,0.27,304.6
load,vp-agg,1.05,245.5
load,vp-agent,0.27,304.6
load,vp-agg,1.05,245.5
load,vp-agent,0.14,304.5
load,vp-agg,0.11,243.3
load,vp-agent,0.14,304.5
load,vp-agg,0.11,243.3
load,vp-agent,0.14,304.5
load,vp-agg,0.11,243.3
load,vp-agent,125.67,318.8
load,vp-agg,161.18,245.7
load,vp-agent,125.67,318.8
load,vp-agg,161.18,245.7
load,vp-agent,0.32,318.6
load,vp-agg,0.34,245.7
load,vp-agent,0.32,318.6
load,vp-agg,0.34,245.7
load,vp-agent,0.28,317.5
load,vp-agg,0.85,244.5
load,vp-agent,0.28,317.5
load,vp-agg,0.85,244.5
load,vp-agent,0.15,316.9
load,vp-agg,0.11,244.5
load,vp-agent,0.15,316.9
load,vp-agg,0.11,244.5
load,vp-agent,84.99,322.9
load,vp-agg,144.21,263.2
load,vp-agent,84.99,322.9
load,vp-agg,144.21,263.2
load,vp-agent,0.45,322.2
load,vp-agg,144.21,263.2
load,vp-agent,0.45,322.2
load,vp-agg,0.36,262.6
load,vp-agent,0.45,322.2
load,vp-agg,0.36,262.6
load,vp-agent,0.26,320
load,vp-agg,0.59,259.1
load,vp-agent,0.26,320
load,vp-agg,0.59,259.1
load,vp-agent,0.78,318.2
load,vp-agg,0.10,259.1
load,vp-agent,0.78,318.2
load,vp-agg,0.10,259.1
load,vp-agent,113.17,324.1
load,vp-agg,150.48,262.4
load,vp-agent,113.17,324.1
load,vp-agg,150.48,262.4
load,vp-agent,0.49,323.1
load,vp-agg,0.15,261.3
load,vp-agent,0.49,323.1
load,vp-agg,0.15,261.3
load,vp-agent,0.27,323.1
load,vp-agg,1.23,262
