phase,container,cpu_pct,mem_mb
idle,vp-agent,0.30,139.6
idle,vp-agg,0.00,124.9
idle,vp-agent,0.30,139.6
idle,vp-agg,0.00,124.9
idle,vp-agent,0.15,139.3
idle,vp-agg,0.32,127.1
idle,vp-agent,0.15,139.3
idle,vp-agg,0.32,127.1
idle,vp-agent,0.27,140
idle,vp-agg,0.32,129.2
idle,vp-agent,0.27,140
idle,vp-agg,0.32,129.2
idle,vp-agent,0.14,140.1
idle,vp-agg,0.08,129.4
idle,vp-agent,0.14,140.1
idle,vp-agg,0.08,129.4
idle,vp-agent,0.14,140.1
idle,vp-agg,0.08,129.4
idle,vp-agent,0.10,140.3
idle,vp-agg,0.07,129.4
idle,vp-agent,0.10,140.3
idle,vp-agg,0.07,129.4
idle,vp-agent,0.13,140.1
idle,vp-agg,0.09,129.3
idle,vp-agent,0.13,140.1
idle,vp-agg,0.09,129.3
idle,vp-agent,0.19,142.4
idle,vp-agg,0.08,129.3
idle,vp-agent,0.19,142.4
idle,vp-agg,0.08,129.3
idle,vp-agent,0.40,144.5
idle,vp-agg,0.30,129.4
idle,vp-agent,0.40,144.5
idle,vp-agg,0.30,129.4
load,vp-agent,0.00,144.4
load,vp-agg,0.00,129.1
load,vp-agent,0.00,144.4
load,vp-agg,0.00,129.1
load,vp-agent,0.49,146.6
load,vp-agg,0.32,129.8
load,vp-agent,0.49,146.6
load,vp-agg,0.32,129.8
load,vp-agent,0.08,146.6
load,vp-agg,0.08,129.8
load,vp-agent,0.08,146.6
load,vp-agg,0.08,129.8
load,vp-agent,0.19,146.5
load,vp-agg,0.09,129.8
load,vp-agent,0.19,146.5
load,vp-agg,0.09,129.8
load,vp-agent,0.09,146.4
load,vp-agg,0.09,129.1
load,vp-agent,0.09,146.4
load,vp-agg,0.09,129.1
load,vp-agent,97.19,208.5
load,vp-agg,112.99,190.9
load,vp-agent,97.19,208.5
load,vp-agg,112.99,190.9
load,vp-agent,97.19,208.5
load,vp-agg,112.99,190.9
load,vp-agent,47.04,213.5
load,vp-agg,109.86,206.5
load,vp-agent,47.04,213.5
load,vp-agg,109.86,206.5
load,vp-agent,0.28,213.6
load,vp-agg,19.91,231.9
load,vp-agent,0.28,213.6
load,vp-agg,19.91,231.9
load,vp-agent,0.27,213.7
load,vp-agg,0.09,231.8
load,vp-agent,0.27,213.7
load,vp-agg,0.09,231.8
load,vp-agent,77.34,236.8
load,vp-agg,74.67,243.2
load,vp-agent,77.34,236.8
load,vp-agg,74.67,243.2
load,vp-agent,58.33,238.1
load,vp-agg,154.17,254.2
load,vp-agent,58.33,238.1
load,vp-agg,154.17,254.2
load,vp-agent,58.33,238.1
load,vp-agg,73.54,252.4
load,vp-agent,0.48,240.9
load,vp-agg,73.54,252.4
load,vp-agent,0.48,240.9
load,vp-agg,73.54,252.4
load,vp-agent,0.11,240.8
load,vp-agg,0.26,251.3
load,vp-agent,0.11,240.8
load,vp-agg,0.26,251.3
load,vp-agent,110.77,256.3
load,vp-agg,122.97,257
load,vp-agent,110.77,256.3
load,vp-agg,122.97,257
load,vp-agent,165.97,250.7
load,vp-agg,235.93,261.4
load,vp-agent,165.97,250.7
load,vp-agg,235.93,261.4
load,vp-agent,17.67,250.3
load,vp-agg,42.49,261.9
load,vp-agent,17.67,250.3
load,vp-agg,42.49,261.9
load,vp-agent,0.35,251.3
load,vp-agg,0.46,263.1
load,vp-agent,0.35,251.3
load,vp-agg,0.46,263.1
load,vp-agent,75.92,271.3
load,vp-agg,89.32,269
load,vp-agent,75.92,271.3
load,vp-agg,89.32,269
load,vp-agent,41.55,268.3
load,vp-agg,129.08,290.5
load,vp-agent,41.55,268.3
load,vp-agg,129.08,290.5
load,vp-agent,41.55,268.3
load,vp-agg,129.08,290.5
load,vp-agent,0.23,268.3
load,vp-agg,85.73,291.2
load,vp-agent,0.23,268.3
load,vp-agg,85.73,291.2
load,vp-agent,0.12,267
load,vp-agg,0.26,290.9
load,vp-agent,0.12,267
load,vp-agg,0.26,290.9
load,vp-agent,121.45,278.2
load,vp-agg,156.43,288.6
load,vp-agent,121.45,278.2
load,vp-agg,156.43,288.6
load,vp-agent,96.84,274.5
load,vp-agg,161.19,290.8
load,vp-agent,96.84,274.5
load,vp-agg,161.19,290.8
load,vp-agent,96.84,274.5
load,vp-agg,161.19,290.8
load,vp-agent,0.28,273.7
load,vp-agg,0.11,290
load,vp-agent,0.28,273.7
load,vp-agg,0.11,290
load,vp-agent,0.13,273.4
load,vp-agg,0.75,286.5
load,vp-agent,0.13,273.4
load,vp-agg,0.75,286.5
load,vp-agent,104.39,293
load,vp-agg,148.43,277.1
load,vp-agent,104.39,293
load,vp-agg,148.43,277.1
load,vp-agent,64.55,288.8
load,vp-agg,171.49,280.8
load,vp-agent,64.55,288.8
load,vp-agg,171.49,280.8
load,vp-agent,0.29,288.7
load,vp-agg,9.08,279.9
load,vp-agent,0.29,288.7
load,vp-agg,9.08,279.9
load,vp-agent,0.23,290.7
load,vp-agg,0.87,276
load,vp-agent,0.23,290.7
load,vp-agg,0.87,276
load,vp-agent,0.23,290.7
load,vp-agg,0.87,276
load,vp-agent,124.09,295
load,vp-agg,157.93,274.3
load,vp-agent,124.09,295
load,vp-agg,157.93,274.3
load,vp-agent,86.94,288.1
load,vp-agg,156.95,283.3
load,vp-agent,86.94,288.1
load,vp-agg,156.95,283.3
load,vp-agent,0.26,288.3
load,vp-agg,0.10,282.8
load,vp-agent,0.26,288.3
load,vp-agg,0.10,282.8
load,vp-agent,0.14,287.1
load,vp-agg,0.76,281
load,vp-agent,0.14,287.1
load,vp-agg,0.76,281
load,vp-agent,116.87,296.3
load,vp-agg,120.12,278.1
load,vp-agent,116.87,296.3
load,vp-agg,120.12,278.1
load,vp-agent,63.63,286.6
load,vp-agg,179.82,286.1
load,vp-agent,63.63,286.6
load,vp-agg,179.82,286.1
load,vp-agent,0.51,287.9
load,vp-agg,7.54,284.7
load,vp-agent,0.51,287.9
load,vp-agg,7.54,284.7
load,vp-agent,0.51,287.9
load,vp-agg,7.54,284.7
load,vp-agent,0.23,287
load,vp-agg,0.80,281.2
load,vp-agent,0.23,287
load,vp-agg,0.80,281.2
load,vp-agent,98.58,295.6
load,vp-agg,110.27,287.8
load,vp-agent,98.58,295.6
load,vp-agg,110.27,287.8
load,vp-agent,19.10,293.1
load,vp-agg,155.01,295.3
load,vp-agent,19.10,293.1
load,vp-agg,155.01,295.3
load,vp-agent,0.26,293.2
load,vp-agg,155.01,295.3
load,vp-agent,0.26,293.2
load,vp-agg,24.14,292.8
load,vp-agent,0.26,293.2
load,vp-agg,24.14,292.8
load,vp-agent,0.46,293.1
load,vp-agg,0.98,286.9
load,vp-agent,0.46,293.1
load,vp-agg,0.98,286.9
load,vp-agent,153.70,290.8
load,vp-agg,209.66,282.4
load,vp-agent,153.70,290.8
load,vp-agg,209.66,282.4
load,vp-agent,98.34,288.8
load,vp-agg,136.82,289.2
load,vp-agent,98.34,288.8
load,vp-agg,136.82,289.2
load,vp-agent,0.25,287.8
load,vp-agg,0.13,288.1
load,vp-agent,0.25,287.8
load,vp-agg,0.13,288.1
load,vp-agent,0.11,287.8
load,vp-agg,0.91,285.7
load,vp-agent,0.11,287.8
load,vp-agg,0.91,285.7
load,vp-agent,120.30,290.9
load,vp-agg,121.55,287.1
load,vp-agent,120.30,290.9
load,vp-agg,121.55,287.1
load,vp-agent,15.08,286.6
