phase,container,cpu_pct,mem_mb
idle,vp-agent,0.00,143.2
idle,vp-agg,0.08,133
idle,vp-agent,0.00,143.2
idle,vp-agg,0.08,133
idle,vp-agent,0.12,143.2
idle,vp-agg,0.12,135.1
idle,vp-agent,0.12,143.2
idle,vp-agg,0.12,135.1
idle,vp-agent,0.09,143.4
idle,vp-agg,0.24,135.4
idle,vp-agent,0.09,143.4
idle,vp-agg,0.24,135.4
idle,vp-agent,0.30,145.4
idle,vp-agg,0.10,135.5
idle,vp-agent,0.30,145.4
idle,vp-agg,0.10,135.5
idle,vp-agent,0.09,145.6
idle,vp-agg,0.26,135.2
idle,vp-agent,0.09,145.6
idle,vp-agg,0.26,135.2
idle,vp-agent,0.14,145.6
idle,vp-agg,0.14,135.3
idle,vp-agent,0.14,145.6
idle,vp-agg,0.14,135.3
idle,vp-agent,0.14,145.6
idle,vp-agg,0.14,135.3
idle,vp-agent,0.08,145.6
idle,vp-agg,0.25,135.8
idle,vp-agent,0.08,145.6
idle,vp-agg,0.25,135.8
idle,vp-agent,0.14,145.6
idle,vp-agg,0.14,135.1
idle,vp-agent,0.14,145.6
idle,vp-agg,0.14,135.1
load,vp-agent,0.00,145.9
load,vp-agg,0.00,135.4
load,vp-agent,0.00,145.9
load,vp-agg,0.00,135.4
load,vp-agent,0.27,146.1
load,vp-agg,0.26,137.5
load,vp-agent,0.27,146.1
load,vp-agg,0.26,137.5
load,vp-agent,0.08,145.6
load,vp-agg,0.10,137.6
load,vp-agent,0.08,145.6
load,vp-agg,0.10,137.6
load,vp-agent,0.51,146.4
load,vp-agg,0.09,137.6
load,vp-agent,0.51,146.4
load,vp-agg,0.09,137.6
load,vp-agent,0.08,146.4
load,vp-agg,0.09,137.6
load,vp-agent,0.08,146.4
load,vp-agg,0.09,137.6
load,vp-agent,79.53,181.8
load,vp-agg,0.09,137.6
load,vp-agent,79.53,181.8
load,vp-agg,133.98,169.3
load,vp-agent,79.53,181.8
load,vp-agg,133.98,169.3
load,vp-agent,137.11,182.2
load,vp-agg,180.84,178.6
load,vp-agent,137.11,182.2
load,vp-agg,180.84,178.6
load,vp-agent,0.37,182.9
load,vp-agg,0.13,177.1
load,vp-agent,0.37,182.9
load,vp-agg,0.13,177.1
load,vp-agent,0.18,184.9
load,vp-agg,0.09,177.1
load,vp-agent,0.18,184.9
load,vp-agg,0.09,177.1
load,vp-agent,73.45,199.8
load,vp-agg,124.24,178.6
load,vp-agent,73.45,199.8
load,vp-agg,124.24,178.6
load,vp-agent,158.51,195.5
load,vp-agg,344.61,182.9
load,vp-agent,158.51,195.5
load,vp-agg,344.61,182.9
load,vp-agent,0.34,195.4
load,vp-agg,0.28,182.6
load,vp-agent,0.34,195.4
load,vp-agg,0.28,182.6
load,vp-agent,0.34,195.4
load,vp-agg,0.12,182
load,vp-agent,0.36,195.6
load,vp-agg,0.12,182
load,vp-agent,0.36,195.6
load,vp-agg,0.12,182
load,vp-agent,60.25,211.3
load,vp-agg,69.41,185.3
load,vp-agent,60.25,211.3
load,vp-agg,69.41,185.3
load,vp-agent,45.35,207
load,vp-agg,151.58,201.7
load,vp-agent,45.35,207
load,vp-agg,151.58,201.7
load,vp-agent,0.26,203.2
load,vp-agg,40.65,200.8
load,vp-agent,0.26,203.2
load,vp-agg,40.65,200.8
load,vp-agent,0.26,203.2
load,vp-agg,40.65,200.8
load,vp-agent,0.09,203.1
load,vp-agg,0.31,201
load,vp-agent,0.09,203.1
load,vp-agg,0.31,201
load,vp-agent,95.40,216.8
load,vp-agg,174.71,197.6
load,vp-agent,95.40,216.8
load,vp-agg,174.71,197.6
load,vp-agent,133.84,213.6
load,vp-agg,220.26,196.9
load,vp-agent,133.84,213.6
load,vp-agg,220.26,196.9
load,vp-agent,0.23,213.4
load,vp-agg,0.09,196.6
load,vp-agent,0.23,213.4
load,vp-agg,0.09,196.6
load,vp-agent,0.10,213.4
load,vp-agg,0.32,197.2
load,vp-agent,0.10,213.4
load,vp-agg,0.32,197.2
load,vp-agent,60.72,217.1
