phase,container,cpu_pct,mem_mb
idle,vvc-fluentbit,0.00,20.9
idle,vvc-fluentbit,0.00,20.9
idle,vvc-fluentbit,0.07,20.96
idle,vvc-fluentbit,0.07,20.96
idle,vvc-fluentbit,0.06,20.97
idle,vvc-fluentbit,0.06,20.97
idle,vvc-fluentbit,0.13,20.94
idle,vvc-fluentbit,0.13,20.94
idle,vvc-fluentbit,0.06,20.95
idle,vvc-fluentbit,0.06,20.95
idle,vvc-fluentbit,0.06,20.95
idle,vvc-fluentbit,0.06,20.95
idle,vvc-fluentbit,0.06,20.95
idle,vvc-fluentbit,0.05,20.95
idle,vvc-fluentbit,0.05,20.95
idle,vvc-fluentbit,0.06,20.93
idle,vvc-fluentbit,0.06,20.93
idle,vvc-fluentbit,0.10,20.93
load,vvc-fluentbit,0.00,20.93
load,vvc-fluentbit,0.00,20.93
load,vvc-fluentbit,0.06,20.92
load,vvc-fluentbit,0.06,20.92
load,vvc-fluentbit,0.05,20.88
load,vvc-fluentbit,0.05,20.88
load,vvc-fluentbit,0.09,21
load,vvc-fluentbit,0.09,21
load,vvc-fluentbit,0.06,20.88
load,vvc-fluentbit,0.06,20.88
load,vvc-fluentbit,0.06,20.88
load,vvc-fluentbit,0.06,20.88
load,vvc-fluentbit,0.06,20.88
load,vvc-fluentbit,0.05,20.88
load,vvc-fluentbit,0.05,20.88
load,vvc-fluentbit,0.05,20.88
load,vvc-fluentbit,0.05,20.88
load,vvc-fluentbit,0.10,20.89
load,vvc-fluentbit,0.10,20.89
load,vvc-fluentbit,0.06,20.89
load,vvc-fluentbit,0.06,20.89
load,vvc-fluentbit,0.06,20.89
load,vvc-fluentbit,0.05,20.89
load,vvc-fluentbit,0.05,20.89
load,vvc-fluentbit,0.05,20.89
load,vvc-fluentbit,0.05,20.89
load,vvc-fluentbit,0.06,20.89
load,vvc-fluentbit,0.06,20.89
load,vvc-fluentbit,0.08,20.9
load,vvc-fluentbit,0.08,20.9
load,vvc-fluentbit,0.05,20.9
load,vvc-fluentbit,0.05,20.9
load,vvc-fluentbit,0.05,20.9
load,vvc-fluentbit,0.06,20.9
load,vvc-fluentbit,0.06,20.9
load,vvc-fluentbit,0.06,20.9
load,vvc-fluentbit,0.06,20.9
load,vvc-fluentbit,0.06,20.9
load,vvc-fluentbit,0.06,20.9
load,vvc-fluentbit,0.09,21.02
load,vvc-fluentbit,0.09,21.02
load,vvc-fluentbit,0.09,21.02
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.08,20.91
load,vvc-fluentbit,0.08,20.91
load,vvc-fluentbit,0.08,20.91
load,vvc-fluentbit,0.08,20.91
load,vvc-fluentbit,0.08,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.07,20.91
load,vvc-fluentbit,0.07,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.08,21.01
load,vvc-fluentbit,0.08,21.01
load,vvc-fluentbit,0.06,20.89
load,vvc-fluentbit,0.06,20.89
load,vvc-fluentbit,0.06,20.89
load,vvc-fluentbit,0.06,20.89
load,vvc-fluentbit,0.05,20.89
load,vvc-fluentbit,0.05,20.89
load,vvc-fluentbit,0.05,20.89
load,vvc-fluentbit,0.05,20.89
load,vvc-fluentbit,0.05,20.89
load,vvc-fluentbit,0.08,21.02
load,vvc-fluentbit,0.08,21.02
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.08,20.91
load,vvc-fluentbit,0.08,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.09,21.02
load,vvc-fluentbit,0.09,21.02
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.07,20.93
load,vvc-fluentbit,0.07,20.93
load,vvc-fluentbit,0.06,20.93
load,vvc-fluentbit,0.06,20.93
load,vvc-fluentbit,0.06,20.93
load,vvc-fluentbit,0.25,20.93
load,vvc-fluentbit,0.25,20.93
load,vvc-fluentbit,0.10,20.93
load,vvc-fluentbit,0.10,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.11,20.93
load,vvc-fluentbit,0.11,20.93
load,vvc-fluentbit,2.64,21.43
load,vvc-fluentbit,2.64,21.43
load,vvc-fluentbit,96.23,37.96
load,vvc-fluentbit,96.23,37.96
load,vvc-fluentbit,92.96,80.67
load,vvc-fluentbit,92.96,80.67
load,vvc-fluentbit,92.96,80.67
load,vvc-fluentbit,31.81,70.91
load,vvc-fluentbit,31.81,70.91
load,vvc-fluentbit,0.12,71.07
load,vvc-fluentbit,0.12,71.07
load,vvc-fluentbit,11.40,71.13
