phase,container,cpu_pct,mem_mb
idle,vvc-fluentbit,0.00,20.99
idle,vvc-fluentbit,0.00,20.99
idle,vvc-fluentbit,0.05,21.04
idle,vvc-fluentbit,0.05,21.04
idle,vvc-fluentbit,0.05,21.08
idle,vvc-fluentbit,0.05,21.08
idle,vvc-fluentbit,0.05,20.96
idle,vvc-fluentbit,0.05,20.96
idle,vvc-fluentbit,0.06,20.96
idle,vvc-fluentbit,0.06,20.96
idle,vvc-fluentbit,0.06,20.96
idle,vvc-fluentbit,0.09,20.96
idle,vvc-fluentbit,0.09,20.96
idle,vvc-fluentbit,0.06,20.95
idle,vvc-fluentbit,0.06,20.95
idle,vvc-fluentbit,0.05,20.95
idle,vvc-fluentbit,0.05,20.95
idle,vvc-fluentbit,0.05,20.95
load,vvc-fluentbit,0.00,20.94
load,vvc-fluentbit,0.00,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.09,20.91
load,vvc-fluentbit,0.09,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.07,20.91
load,vvc-fluentbit,0.07,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.09,20.91
load,vvc-fluentbit,0.09,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.10,20.91
load,vvc-fluentbit,0.10,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.06,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.05,20.91
load,vvc-fluentbit,0.08,20.93
load,vvc-fluentbit,0.08,20.93
load,vvc-fluentbit,0.06,20.93
load,vvc-fluentbit,0.06,20.93
load,vvc-fluentbit,0.06,20.93
load,vvc-fluentbit,0.06,20.93
load,vvc-fluentbit,0.06,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.05,20.93
load,vvc-fluentbit,0.06,20.93
load,vvc-fluentbit,0.06,20.93
load,vvc-fluentbit,0.10,20.95
load,vvc-fluentbit,0.10,20.95
load,vvc-fluentbit,0.06,20.95
load,vvc-fluentbit,0.06,20.95
load,vvc-fluentbit,0.06,20.95
load,vvc-fluentbit,0.07,20.95
load,vvc-fluentbit,0.07,20.95
load,vvc-fluentbit,0.08,20.95
load,vvc-fluentbit,0.08,20.95
load,vvc-fluentbit,0.09,21.06
load,vvc-fluentbit,0.09,21.06
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.05,20.94
load,vvc-fluentbit,0.06,20.94
load,vvc-fluentbit,0.06,20.94
load,vvc-fluentbit,0.06,20.94
load,vvc-fluentbit,0.06,20.94
load,vvc-fluentbit,0.10,21.06
load,vvc-fluentbit,0.10,21.06
load,vvc-fluentbit,0.06,20.95
load,vvc-fluentbit,0.06,20.95
load,vvc-fluentbit,0.05,20.95
load,vvc-fluentbit,0.05,20.95
load,vvc-fluentbit,0.05,20.95
load,vvc-fluentbit,0.05,20.95
load,vvc-fluentbit,0.05,20.95
load,vvc-fluentbit,0.05,20.95
load,vvc-fluentbit,0.05,20.95
load,vvc-fluentbit,0.09,21.07
load,vvc-fluentbit,0.09,21.07
load,vvc-fluentbit,0.05,21.07
load,vvc-fluentbit,0.05,21.07
load,vvc-fluentbit,0.05,20.96
load,vvc-fluentbit,0.05,20.96
load,vvc-fluentbit,0.05,20.96
load,vvc-fluentbit,0.05,20.96
load,vvc-fluentbit,0.05,20.96
load,vvc-fluentbit,0.06,20.96
load,vvc-fluentbit,0.06,20.96
load,vvc-fluentbit,0.09,21.08
load,vvc-fluentbit,0.09,21.08
load,vvc-fluentbit,0.06,20.96
load,vvc-fluentbit,0.06,20.96
load,vvc-fluentbit,0.06,20.96
load,vvc-fluentbit,0.05,20.96
load,vvc-fluentbit,0.05,20.96
load,vvc-fluentbit,0.06,20.96
load,vvc-fluentbit,0.06,20.96
load,vvc-fluentbit,0.05,20.96
load,vvc-fluentbit,0.05,20.96
load,vvc-fluentbit,34.28,25.15
load,vvc-fluentbit,34.28,25.15
load,vvc-fluentbit,39.37,90.39
load,vvc-fluentbit,39.37,90.39
load,vvc-fluentbit,39.37,90.39
load,vvc-fluentbit,36.56,69.58
load,vvc-fluentbit,36.56,69.58
load,vvc-fluentbit,0.06,69.58
load,vvc-fluentbit,0.06,69.58
load,vvc-fluentbit,3.59,69.62
