phase,container,cpu_pct,mem_mb
idle,vvc-otelcol,0.00,42.29
idle,vvc-otelcol,0.00,42.29
idle,vvc-otelcol,0.35,42.25
idle,vvc-otelcol,0.35,42.25
idle,vvc-otelcol,0.36,42.06
idle,vvc-otelcol,0.36,42.06
idle,vvc-otelcol,0.36,42.06
idle,vvc-otelcol,0.36,42.06
idle,vvc-otelcol,0.36,42.06
idle,vvc-otelcol,0.35,42.06
idle,vvc-otelcol,0.35,42.06
idle,vvc-otelcol,0.62,42.02
idle,vvc-otelcol,0.62,42.02
idle,vvc-otelcol,0.34,42.02
idle,vvc-otelcol,0.34,42.02
idle,vvc-otelcol,0.35,42.02
idle,vvc-otelcol,0.35,42.02
idle,vvc-otelcol,0.35,42.02
load,vvc-otelcol,0.00,42.2
load,vvc-otelcol,0.00,42.2
load,vvc-otelcol,26.85,96.23
load,vvc-otelcol,26.85,96.23
load,vvc-otelcol,94.18,100.2
load,vvc-otelcol,94.18,100.2
load,vvc-otelcol,93.46,100.5
load,vvc-otelcol,93.46,100.5
load,vvc-otelcol,84.21,100.4
load,vvc-otelcol,84.21,100.4
load,vvc-otelcol,84.21,100.4
load,vvc-otelcol,96.47,104
load,vvc-otelcol,96.47,104
load,vvc-otelcol,98.03,103.9
load,vvc-otelcol,98.03,103.9
load,vvc-otelcol,97.61,104.4
load,vvc-otelcol,97.61,104.4
load,vvc-otelcol,91.95,104.1
load,vvc-otelcol,91.95,104.1
load,vvc-otelcol,99.87,104.3
load,vvc-otelcol,99.87,104.3
load,vvc-otelcol,100.89,104.5
load,vvc-otelcol,100.89,104.5
load,vvc-otelcol,100.89,104.5
load,vvc-otelcol,97.47,104.5
load,vvc-otelcol,97.47,104.5
load,vvc-otelcol,94.96,104.6
load,vvc-otelcol,94.96,104.6
load,vvc-otelcol,95.94,103.9
load,vvc-otelcol,95.94,103.9
load,vvc-otelcol,99.39,104.3
load,vvc-otelcol,99.39,104.3
load,vvc-otelcol,99.39,104.3
load,vvc-otelcol,97.56,110.6
load,vvc-otelcol,97.56,110.6
load,vvc-otelcol,100.51,108.3
load,vvc-otelcol,100.51,108.3
load,vvc-otelcol,99.00,108.1
load,vvc-otelcol,99.00,108.1
load,vvc-otelcol,99.33,109
load,vvc-otelcol,99.33,109
load,vvc-otelcol,96.21,108.1
load,vvc-otelcol,96.21,108.1
load,vvc-otelcol,96.21,108.1
load,vvc-otelcol,98.84,110.2
load,vvc-otelcol,98.84,110.2
load,vvc-otelcol,109.97,110.6
load,vvc-otelcol,109.97,110.6
load,vvc-otelcol,106.50,110.8
load,vvc-otelcol,106.50,110.8
load,vvc-otelcol,106.50,110.8
load,vvc-otelcol,110.34,108.6
load,vvc-otelcol,110.34,108.6
load,vvc-otelcol,88.79,108.6
load,vvc-otelcol,88.79,108.6
load,vvc-otelcol,99.84,109
load,vvc-otelcol,99.84,109
load,vvc-otelcol,94.36,108
load,vvc-otelcol,94.36,108
load,vvc-otelcol,92.19,108.1
load,vvc-otelcol,92.19,108.1
load,vvc-otelcol,92.19,108.1
load,vvc-otelcol,92.65,108.4
load,vvc-otelcol,92.65,108.4
load,vvc-otelcol,94.39,111
load,vvc-otelcol,94.39,111
load,vvc-otelcol,90.93,110.7
load,vvc-otelcol,90.93,110.7
load,vvc-otelcol,97.94,108.8
load,vvc-otelcol,97.94,108.8
load,vvc-otelcol,101.95,109.4
load,vvc-otelcol,101.95,109.4
load,vvc-otelcol,101.95,109.4
load,vvc-otelcol,103.33,108.7
load,vvc-otelcol,103.33,108.7
load,vvc-otelcol,93.32,111.2
load,vvc-otelcol,93.32,111.2
load,vvc-otelcol,96.78,110.5
load,vvc-otelcol,96.78,110.5
load,vvc-otelcol,103.22,110.8
load,vvc-otelcol,103.22,110.8
load,vvc-otelcol,97.54,111.1
load,vvc-otelcol,97.54,111.1
load,vvc-otelcol,97.54,111.1
load,vvc-otelcol,98.16,110.7
load,vvc-otelcol,98.16,110.7
load,vvc-otelcol,105.04,111.2
load,vvc-otelcol,105.04,111.2
load,vvc-otelcol,96.82,110.6
load,vvc-otelcol,96.82,110.6
load,vvc-otelcol,90.73,111
load,vvc-otelcol,90.73,111
load,vvc-otelcol,85.30,110.7
load,vvc-otelcol,85.30,110.7
load,vvc-otelcol,85.30,110.7
load,vvc-otelcol,100.58,110.9
load,vvc-otelcol,100.58,110.9
load,vvc-otelcol,106.45,110.9
load,vvc-otelcol,106.45,110.9
load,vvc-otelcol,77.81,111.2
load,vvc-otelcol,77.81,111.2
load,vvc-otelcol,98.98,113.2
load,vvc-otelcol,98.98,113.2
load,vvc-otelcol,98.98,113.2
load,vvc-otelcol,98.24,113.2
load,vvc-otelcol,98.24,113.2
load,vvc-otelcol,93.92,113.4
load,vvc-otelcol,93.92,113.4
load,vvc-otelcol,95.88,113.2
load,vvc-otelcol,95.88,113.2
load,vvc-otelcol,95.99,113.4
load,vvc-otelcol,95.99,113.4
load,vvc-otelcol,95.99,113.4
load,vvc-otelcol,91.90,113.5
load,vvc-otelcol,91.90,113.5
load,vvc-otelcol,60.61,113.3
load,vvc-otelcol,60.61,113.3
load,vvc-otelcol,99.25,113.5
