phase,container,cpu_pct,mem_mb
idle,vvc-otelcol,0.00,38.31
idle,vvc-otelcol,0.00,38.31
idle,vvc-otelcol,0.42,38.19
idle,vvc-otelcol,0.42,38.19
idle,vvc-otelcol,0.64,38.06
idle,vvc-otelcol,0.64,38.06
idle,vvc-otelcol,0.56,38.11
idle,vvc-otelcol,0.56,38.11
idle,vvc-otelcol,0.37,37.92
idle,vvc-otelcol,0.37,37.92
idle,vvc-otelcol,0.37,37.92
idle,vvc-otelcol,0.45,37.8
idle,vvc-otelcol,0.45,37.8
idle,vvc-otelcol,0.38,37.8
idle,vvc-otelcol,0.38,37.8
idle,vvc-otelcol,0.61,38.03
idle,vvc-otelcol,0.61,38.03
idle,vvc-otelcol,0.39,38.04
load,vvc-otelcol,0.00,39.8
load,vvc-otelcol,0.00,39.8
load,vvc-otelcol,0.43,39.8
load,vvc-otelcol,0.43,39.8
load,vvc-otelcol,0.59,39.95
load,vvc-otelcol,0.59,39.95
load,vvc-otelcol,0.44,40.08
load,vvc-otelcol,0.44,40.08
load,vvc-otelcol,22.29,78.26
load,vvc-otelcol,22.29,78.26
load,vvc-otelcol,22.29,78.26
load,vvc-otelcol,102.46,82.42
load,vvc-otelcol,102.46,82.42
load,vvc-otelcol,4.47,79.71
load,vvc-otelcol,4.47,79.71
load,vvc-otelcol,1.06,79.38
load,vvc-otelcol,1.06,79.38
load,vvc-otelcol,46.25,80.18
load,vvc-otelcol,46.25,80.18
load,vvc-otelcol,78.63,68.2
load,vvc-otelcol,78.63,68.2
load,vvc-otelcol,78.63,68.2
load,vvc-otelcol,0.57,67.95
load,vvc-otelcol,0.57,67.95
load,vvc-otelcol,0.52,68.08
load,vvc-otelcol,0.52,68.08
load,vvc-otelcol,30.20,81.88
load,vvc-otelcol,30.20,81.88
load,vvc-otelcol,88.73,85.66
load,vvc-otelcol,88.73,85.66
load,vvc-otelcol,88.73,85.66
load,vvc-otelcol,12.35,67.02
load,vvc-otelcol,12.35,67.02
load,vvc-otelcol,0.53,66.89
load,vvc-otelcol,0.53,66.89
load,vvc-otelcol,34.46,73.84
load,vvc-otelcol,34.46,73.84
load,vvc-otelcol,89.12,71.62
load,vvc-otelcol,89.12,71.62
load,vvc-otelcol,12.23,74
load,vvc-otelcol,12.23,74
load,vvc-otelcol,12.23,74
load,vvc-otelcol,0.74,74.24
load,vvc-otelcol,0.74,74.24
load,vvc-otelcol,19.67,70.32
load,vvc-otelcol,19.67,70.32
load,vvc-otelcol,90.01,83.52
load,vvc-otelcol,90.01,83.52
load,vvc-otelcol,43.92,65.3
load,vvc-otelcol,43.92,65.3
load,vvc-otelcol,43.92,65.3
load,vvc-otelcol,0.75,65.43
load,vvc-otelcol,0.75,65.43
load,vvc-otelcol,10.37,68.92
load,vvc-otelcol,10.37,68.92
load,vvc-otelcol,89.13,79.07
load,vvc-otelcol,89.13,79.07
load,vvc-otelcol,44.10,67.46
load,vvc-otelcol,44.10,67.46
load,vvc-otelcol,44.10,67.46
load,vvc-otelcol,0.81,67.99
load,vvc-otelcol,0.81,67.99
load,vvc-otelcol,14.91,67.84
load,vvc-otelcol,14.91,67.84
load,vvc-otelcol,78.82,78.11
load,vvc-otelcol,78.82,78.11
load,vvc-otelcol,67.65,71.79
load,vvc-otelcol,67.65,71.79
load,vvc-otelcol,67.65,71.79
load,vvc-otelcol,0.90,72.07
load,vvc-otelcol,0.90,72.07
load,vvc-otelcol,22.59,70.99
load,vvc-otelcol,22.59,70.99
load,vvc-otelcol,22.59,70.99
load,vvc-otelcol,88.97,81.03
load,vvc-otelcol,88.97,81.03
load,vvc-otelcol,34.32,77.46
load,vvc-otelcol,34.32,77.46
load,vvc-otelcol,0.71,76.57
load,vvc-otelcol,0.71,76.57
load,vvc-otelcol,23.42,77.1
load,vvc-otelcol,23.42,77.1
load,vvc-otelcol,82.69,74.09
load,vvc-otelcol,82.69,74.09
load,vvc-otelcol,23.77,67.25
load,vvc-otelcol,23.77,67.25
load,vvc-otelcol,23.77,67.25
load,vvc-otelcol,0.60,66.89
load,vvc-otelcol,0.60,66.89
load,vvc-otelcol,18.18,74.32
load,vvc-otelcol,18.18,74.32
load,vvc-otelcol,88.91,70.55
load,vvc-otelcol,88.91,70.55
load,vvc-otelcol,49.19,69.88
load,vvc-otelcol,49.19,69.88
load,vvc-otelcol,49.19,69.88
load,vvc-otelcol,1.07,69.86
load,vvc-otelcol,1.07,69.86
load,vvc-otelcol,8.01,68.92
load,vvc-otelcol,8.01,68.92
load,vvc-otelcol,79.12,81.32
load,vvc-otelcol,79.12,81.32
load,vvc-otelcol,45.60,71.95
load,vvc-otelcol,45.60,71.95
load,vvc-otelcol,2.28,63.4
load,vvc-otelcol,2.28,63.4
load,vvc-otelcol,2.28,63.4
load,vvc-otelcol,9.54,71.9
load,vvc-otelcol,9.54,71.9
load,vvc-otelcol,83.47,79.39
load,vvc-otelcol,83.47,79.39
load,vvc-otelcol,56.14,73.25
load,vvc-otelcol,56.14,73.25
load,vvc-otelcol,56.14,73.25
load,vvc-otelcol,4.26,60.61
load,vvc-otelcol,4.26,60.61
load,vvc-otelcol,10.87,77.6
load,vvc-otelcol,10.87,77.6
