phase,container,cpu_pct,mem_mb
idle,vvc-vector,0.00,150.2
idle,vvc-vector,0.00,150.2
idle,vvc-vector,0.15,150
idle,vvc-vector,0.15,150
idle,vvc-vector,0.14,150.1
idle,vvc-vector,0.14,150.1
idle,vvc-vector,0.14,150.2
idle,vvc-vector,0.14,150.2
idle,vvc-vector,0.14,150.2
idle,vvc-vector,0.12,152.1
idle,vvc-vector,0.12,152.1
idle,vvc-vector,0.39,156.9
idle,vvc-vector,0.39,156.9
idle,vvc-vector,0.16,159.1
idle,vvc-vector,0.16,159.1
idle,vvc-vector,0.13,159.2
idle,vvc-vector,0.13,159.2
load,vvc-vector,0.00,159.4
load,vvc-vector,0.00,159.4
load,vvc-vector,0.23,159.1
load,vvc-vector,0.23,159.1
load,vvc-vector,120.32,336.7
load,vvc-vector,120.32,336.7
load,vvc-vector,64.94,387.6
load,vvc-vector,64.94,387.6
load,vvc-vector,47.02,422.3
load,vvc-vector,47.02,422.3
load,vvc-vector,47.02,422.3
load,vvc-vector,42.75,436.8
load,vvc-vector,42.75,436.8
load,vvc-vector,46.59,433.1
load,vvc-vector,46.59,433.1
load,vvc-vector,41.32,430.9
load,vvc-vector,41.32,430.9
load,vvc-vector,45.04,437.5
load,vvc-vector,45.04,437.5
load,vvc-vector,44.68,447.9
load,vvc-vector,44.68,447.9
load,vvc-vector,45.71,451
load,vvc-vector,45.71,451
load,vvc-vector,45.71,451
load,vvc-vector,43.24,453.3
load,vvc-vector,43.24,453.3
load,vvc-vector,56.59,470.3
load,vvc-vector,56.59,470.3
load,vvc-vector,42.78,472.9
load,vvc-vector,42.78,472.9
load,vvc-vector,43.12,460.6
load,vvc-vector,43.12,460.6
load,vvc-vector,43.12,460.6
load,vvc-vector,50.60,468.5
load,vvc-vector,50.60,468.5
load,vvc-vector,42.07,477
load,vvc-vector,42.07,477
load,vvc-vector,39.06,493.3
load,vvc-vector,39.06,493.3
load,vvc-vector,40.91,485
load,vvc-vector,40.91,485
load,vvc-vector,41.56,497.5
load,vvc-vector,41.56,497.5
load,vvc-vector,41.56,497.5
load,vvc-vector,39.88,482.8
load,vvc-vector,39.88,482.8
load,vvc-vector,31.18,481.4
load,vvc-vector,31.18,481.4
load,vvc-vector,41.53,475.4
load,vvc-vector,41.53,475.4
load,vvc-vector,42.90,464.1
load,vvc-vector,42.90,464.1
load,vvc-vector,42.90,464.1
load,vvc-vector,42.67,469.8
load,vvc-vector,42.67,469.8
load,vvc-vector,67.88,487.7
load,vvc-vector,67.88,487.7
load,vvc-vector,39.48,497
load,vvc-vector,39.48,497
load,vvc-vector,43.47,505.1
load,vvc-vector,43.47,505.1
load,vvc-vector,43.47,505.1
load,vvc-vector,49.01,511.5
load,vvc-vector,49.01,511.5
load,vvc-vector,29.94,513.2
load,vvc-vector,29.94,513.2
load,vvc-vector,46.19,502.7
load,vvc-vector,46.19,502.7
load,vvc-vector,42.82,513.5
load,vvc-vector,42.82,513.5
load,vvc-vector,48.42,527.6
load,vvc-vector,48.42,527.6
load,vvc-vector,48.42,527.6
load,vvc-vector,40.16,520
load,vvc-vector,40.16,520
load,vvc-vector,44.54,516
load,vvc-vector,44.54,516
load,vvc-vector,55.90,501.8
load,vvc-vector,55.90,501.8
load,vvc-vector,44.04,502.7
load,vvc-vector,44.04,502.7
load,vvc-vector,40.07,492.2
load,vvc-vector,40.07,492.2
load,vvc-vector,40.07,492.2
load,vvc-vector,39.91,490.6
load,vvc-vector,39.91,490.6
load,vvc-vector,32.51,481.3
load,vvc-vector,32.51,481.3
load,vvc-vector,39.31,492.4
load,vvc-vector,39.31,492.4
load,vvc-vector,57.28,512.5
load,vvc-vector,57.28,512.5
load,vvc-vector,54.34,512.2
load,vvc-vector,54.34,512.2
load,vvc-vector,54.34,512.2
load,vvc-vector,61.80,495.8
load,vvc-vector,61.80,495.8
load,vvc-vector,41.65,498.6
load,vvc-vector,41.65,498.6
load,vvc-vector,43.82,503.6
load,vvc-vector,43.82,503.6
load,vvc-vector,41.34,498.6
load,vvc-vector,41.34,498.6
load,vvc-vector,31.14,505
load,vvc-vector,31.14,505
load,vvc-vector,31.14,505
load,vvc-vector,42.39,498.2
load,vvc-vector,42.39,498.2
load,vvc-vector,46.37,508.1
load,vvc-vector,46.37,508.1
load,vvc-vector,47.27,498.6
load,vvc-vector,47.27,498.6
load,vvc-vector,43.01,497.9
load,vvc-vector,43.01,497.9
load,vvc-vector,43.01,497.9
load,vvc-vector,56.80,499.3
load,vvc-vector,56.80,499.3
