phase,container,cpu_pct,mem_mb
idle,vvc-vector,0.00,154.4
idle,vvc-vector,0.00,154.4
idle,vvc-vector,0.25,154.9
idle,vvc-vector,0.25,154.9
idle,vvc-vector,0.14,154.7
idle,vvc-vector,0.14,154.7
idle,vvc-vector,0.25,155.1
idle,vvc-vector,0.25,155.1
idle,vvc-vector,0.13,155.2
idle,vvc-vector,0.13,155.2
idle,vvc-vector,0.13,155.2
idle,vvc-vector,0.12,155.4
idle,vvc-vector,0.12,155.4
idle,vvc-vector,0.13,155.3
idle,vvc-vector,0.13,155.3
idle,vvc-vector,0.09,155.3
idle,vvc-vector,0.09,155.3
idle,vvc-vector,0.30,157.6
idle,vvc-vector,0.30,157.6
load,vvc-vector,0.00,157.5
load,vvc-vector,0.00,157.5
load,vvc-vector,0.28,157.7
load,vvc-vector,0.28,157.7
load,vvc-vector,0.27,158
load,vvc-vector,0.27,158
load,vvc-vector,0.21,158.6
load,vvc-vector,0.21,158.6
load,vvc-vector,0.21,158.6
load,vvc-vector,0.09,158.1
load,vvc-vector,0.09,158.1
load,vvc-vector,0.11,158.2
load,vvc-vector,0.11,158.2
load,vvc-vector,20.98,210.5
load,vvc-vector,20.98,210.5
load,vvc-vector,3.05,211.3
load,vvc-vector,3.05,211.3
load,vvc-vector,3.05,211.3
load,vvc-vector,0.25,211.4
load,vvc-vector,0.25,211.4
load,vvc-vector,0.15,211.4
load,vvc-vector,0.15,211.4
load,vvc-vector,20.47,235.1
load,vvc-vector,20.47,235.1
load,vvc-vector,2.50,223.6
load,vvc-vector,2.50,223.6
load,vvc-vector,0.53,223.6
load,vvc-vector,0.53,223.6
load,vvc-vector,0.28,217.1
load,vvc-vector,0.28,217.1
load,vvc-vector,29.98,237
load,vvc-vector,29.98,237
load,vvc-vector,29.98,237
load,vvc-vector,2.70,236.6
load,vvc-vector,2.70,236.6
load,vvc-vector,0.28,236.6
load,vvc-vector,0.28,236.6
load,vvc-vector,0.37,236.8
load,vvc-vector,0.37,236.8
load,vvc-vector,19.41,245.2
load,vvc-vector,19.41,245.2
load,vvc-vector,19.41,245.2
load,vvc-vector,2.64,242
load,vvc-vector,2.64,242
load,vvc-vector,7.62,244
load,vvc-vector,7.62,244
load,vvc-vector,4.56,247.3
load,vvc-vector,4.56,247.3
load,vvc-vector,6.69,246.4
load,vvc-vector,6.69,246.4
load,vvc-vector,4.94,251.4
load,vvc-vector,4.94,251.4
load,vvc-vector,4.94,251.4
load,vvc-vector,6.39,251.6
load,vvc-vector,6.39,251.6
load,vvc-vector,4.36,249.5
load,vvc-vector,4.36,249.5
load,vvc-vector,6.70,252
load,vvc-vector,6.70,252
load,vvc-vector,5.11,256
load,vvc-vector,5.11,256
load,vvc-vector,5.11,256
load,vvc-vector,6.54,255.4
load,vvc-vector,6.54,255.4
load,vvc-vector,5.03,251.1
load,vvc-vector,5.03,251.1
load,vvc-vector,6.65,251.4
load,vvc-vector,6.65,251.4
load,vvc-vector,4.86,245
load,vvc-vector,4.86,245
load,vvc-vector,6.95,251.5
load,vvc-vector,6.95,251.5
load,vvc-vector,6.95,251.5
load,vvc-vector,4.41,242.7
load,vvc-vector,4.41,242.7
load,vvc-vector,6.16,242.3
load,vvc-vector,6.16,242.3
load,vvc-vector,2.93,247.9
load,vvc-vector,2.93,247.9
load,vvc-vector,8.80,244.8
load,vvc-vector,8.80,244.8
load,vvc-vector,3.24,245.6
load,vvc-vector,3.24,245.6
load,vvc-vector,3.24,245.6
load,vvc-vector,8.27,248.5
load,vvc-vector,8.27,248.5
load,vvc-vector,2.67,256.2
load,vvc-vector,2.67,256.2
load,vvc-vector,8.56,250.6
load,vvc-vector,8.56,250.6
load,vvc-vector,2.64,253.4
load,vvc-vector,2.64,253.4
load,vvc-vector,2.64,253.4
load,vvc-vector,8.66,258
load,vvc-vector,8.66,258
load,vvc-vector,2.73,259.2
load,vvc-vector,2.73,259.2
load,vvc-vector,8.07,253.2
load,vvc-vector,8.07,253.2
load,vvc-vector,1.83,256.9
load,vvc-vector,1.83,256.9
load,vvc-vector,6.08,247.3
load,vvc-vector,6.08,247.3
load,vvc-vector,3.42,251.4
load,vvc-vector,3.42,251.4
load,vvc-vector,3.42,251.4
load,vvc-vector,6.43,241.1
load,vvc-vector,6.43,241.1
load,vvc-vector,6.79,243.4
load,vvc-vector,6.79,243.4
load,vvc-vector,5.72,244
load,vvc-vector,5.72,244
load,vvc-vector,5.72,244
load,vvc-vector,6.88,250.8
load,vvc-vector,6.88,250.8
load,vvc-vector,4.39,242.2
load,vvc-vector,4.39,242.2
load,vvc-vector,6.52,242.3
