bandwidth_mbit,encoding,wire_bytes,total_ms,reps
500,identity,36493651,584.456,5
500,gzip,5118551,211.109,5
500,zstd,5079316,123.114,5
1000,identity,36493651,292.394,5
1000,gzip,5118551,207.710,5
1000,zstd,5079316,112.656,5
1500,identity,36493651,195.921,5
1500,gzip,5118551,199.430,5
1500,zstd,5079316,133.593,5
2000,identity,36493651,146.426,5
2000,gzip,5118551,225.197,5
2000,zstd,5079316,236.213,5
2500,identity,36493651,117.246,5
2500,gzip,5118551,199.583,5
2500,zstd,5079316,138.183,5
3000,identity,36493651,97.991,5
3000,gzip,5118551,202.109,5
3000,zstd,5079316,121.515,5
3500,identity,36493651,84.181,5
3500,gzip,5118551,287.553,5
3500,zstd,5079316,190.152,5
5000,identity,36493651,59.213,5
5000,gzip,5118551,213.341,5
5000,zstd,5079316,147.057,5
