codec,level_a,level_b,adjacent,compress_a_range,compress_b_range,compress_verdict,decompress_a_range,decompress_b_range,decompress_verdict
brotli/andybalholm,1,5,да,189.3-253.2,40.1-47.0,значимо,208.8-282.0,390.8-490.3,значимо
brotli/andybalholm,1,11,нет,189.3-253.2,0.4-0.5,значимо,208.8-282.0,292.5-511.0,значимо
brotli/andybalholm,5,11,да,40.1-47.0,0.4-0.5,значимо,390.8-490.3,292.5-511.0,перекрываются
gzip/klauspost,1,6,да,328.8-404.0,204.8-233.2,значимо,431.2-492.2,481.6-599.9,перекрываются
gzip/klauspost,1,9,нет,328.8-404.0,22.9-25.0,значимо,431.2-492.2,658.7-699.2,значимо
gzip/klauspost,6,9,да,204.8-233.2,22.9-25.0,значимо,481.6-599.9,658.7-699.2,значимо
lz4/pierrec,0,9,да,455.8-527.6,30.5-34.3,значимо,1276.0-1328.9,1233.0-1291.6,перекрываются
zstd/klauspost,1,3,да,409.3-536.0,409.6-475.1,перекрываются,823.6-926.2,720.1-845.1,перекрываются
zstd/klauspost,1,7,нет,409.3-536.0,223.0-259.5,значимо,823.6-926.2,702.6-818.4,значимо
zstd/klauspost,1,11,нет,409.3-536.0,49.1-58.3,значимо,823.6-926.2,709.0-866.1,перекрываются
zstd/klauspost,3,7,да,409.6-475.1,223.0-259.5,значимо,720.1-845.1,702.6-818.4,перекрываются
zstd/klauspost,3,11,нет,409.6-475.1,49.1-58.3,значимо,720.1-845.1,709.0-866.1,перекрываются
zstd/klauspost,7,11,да,223.0-259.5,49.1-58.3,значимо,702.6-818.4,709.0-866.1,перекрываются
