codec,level,output_bytes,ratio,compress_mbs_median,compress_mbs_min,compress_mbs_max,compress_spread_pct,decompress_mbs_median,decompress_mbs_min,decompress_mbs_max,decompress_spread_pct,vs_prev_level,compress_vs_prev,decompress_vs_prev,runs_published,reps_per_run,compress_passes,decompress_passes,compress_attempts,decompress_attempts
brotli/andybalholm,1,5580713,6.5392,218.65,189.28,253.16,29.2,259.22,208.78,282.0,28.2,-,-,-,4,7,1,1,1,1
brotli/andybalholm,5,3970251,9.1918,46.59,40.1,46.95,14.7,473.38,390.83,490.33,21.0,1,значимо,значимо,4,7,1,1,1,1
brotli/andybalholm,11,3229387,11.3005,0.41,0.4,0.46,14.5,461.4,292.52,511.01,47.4,5,значимо,перекрываются,4,7,1,1,1,1
gzip/klauspost,1,6584314,5.5425,367.66,328.81,404.01,20.5,469.74,431.18,492.18,13.0,-,-,-,4,7,1,1,1,1
gzip/klauspost,6,5018675,7.2716,218.1,204.85,233.21,13.0,567.07,481.6,599.9,20.9,1,значимо,перекрываются,4,7,1,1,1,1
gzip/klauspost,9,4336304,8.4158,24.51,22.89,24.98,8.5,686.35,658.66,699.21,5.9,6,значимо,значимо,4,7,1,1;2,1,1
lz4/pierrec,0,8806015,4.1442,499.26,455.77,527.62,14.4,1315.12,1276.05,1328.94,4.0,-,-,-,4,7,1,3,1,1
lz4/pierrec,9,7010711,5.2054,32.17,30.53,34.29,11.7,1282.53,1232.99,1291.63,4.6,0,значимо,перекрываются,4,7,1,3,1,1
zstd/klauspost,1,5253347,6.9467,480.35,409.3,535.95,26.4,903.48,823.63,926.16,11.3,-,-,-,4,7,1,2;3,1,1
zstd/klauspost,3,5079316,7.1848,429.51,409.56,475.08,15.3,779.31,720.1,845.14,16.0,1,перекрываются,перекрываются,4,7,1,2,1,1;2
zstd/klauspost,7,4708989,7.7498,250.19,223.03,259.49,14.6,787.63,702.6,818.43,14.7,3,значимо,перекрываются,4,7,1,2,1,1
zstd/klauspost,11,4261388,8.5638,56.25,49.07,58.3,16.4,796.9,708.95,866.06,19.7,7,значимо,перекрываются,4,7,1,2,1,1
