go version go1.19.13 linux/amd64
BenchmarkRSA2048Sign-16        	     883	   1420799 ns/op	   30405 B/op	     108 allocs/op
BenchmarkRSA4096Sign-16        	     148	   7775510 ns/op	   76035 B/op	     122 allocs/op
BenchmarkRSA2048Verify-16      	   24078	     57933 ns/op	    4939 B/op	      10 allocs/op
BenchmarkRSA4096Verify-16      	    4350	    269682 ns/op	   14487 B/op	      11 allocs/op
BenchmarkRSA2048Encrypt-16     	   15609	     78800 ns/op	    4944 B/op	      10 allocs/op
BenchmarkRSA4096Encrypt-16     	    8037	    146334 ns/op	   14490 B/op	      11 allocs/op
BenchmarkECDSAP256Sign-16      	   45856	     25476 ns/op	    3138 B/op	      45 allocs/op
BenchmarkECDSAP256Verify-16    	   16938	     71256 ns/op	    1393 B/op	      23 allocs/op
BenchmarkHMACSHA256-16         	  831670	      1396 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     812	   1521285 ns/op	   35345 B/op	     118 allocs/op
BenchmarkRSA2048Sign-16        	     835	   1369105 ns/op	   30411 B/op	     108 allocs/op
BenchmarkRSA4096Sign-16        	     150	   8006245 ns/op	   76013 B/op	     122 allocs/op
BenchmarkRSA2048Verify-16      	   26383	     45637 ns/op	    4939 B/op	      10 allocs/op
BenchmarkRSA4096Verify-16      	    8884	    143188 ns/op	   14485 B/op	      11 allocs/op
BenchmarkRSA2048Encrypt-16     	   25156	     48659 ns/op	    4943 B/op	      10 allocs/op
BenchmarkRSA4096Encrypt-16     	    7519	    145393 ns/op	   14490 B/op	      11 allocs/op
BenchmarkECDSAP256Sign-16      	   48532	     23782 ns/op	    3138 B/op	      45 allocs/op
BenchmarkECDSAP256Verify-16    	   17014	     71751 ns/op	    1392 B/op	      23 allocs/op
BenchmarkHMACSHA256-16         	  793150	      1323 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     906	   1414055 ns/op	   35346 B/op	     118 allocs/op
BenchmarkRSA2048Sign-16        	     856	   1306443 ns/op	   30407 B/op	     108 allocs/op
BenchmarkRSA4096Sign-16        	     148	   8059818 ns/op	   76039 B/op	     122 allocs/op
