go version go1.23.12 linux/amd64
BenchmarkRSA2048Sign-16        	     966	   1287540 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     165	   7223007 ns/op	   38656 B/op	      56 allocs/op
BenchmarkRSA2048Verify-16      	   34386	     35677 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Verify-16      	    2486	    484543 ns/op	   61520 B/op	      98 allocs/op
BenchmarkRSA2048Encrypt-16     	   30786	     37540 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    2396	    481231 ns/op	   61520 B/op	      98 allocs/op
BenchmarkECDSAP256Sign-16      	   42334	     30965 ns/op	    2376 B/op	      30 allocs/op
BenchmarkECDSAP256Verify-16    	   10000	    120684 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1000000	      1024 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     634	   2576748 ns/op	    2000 B/op	      12 allocs/op
BenchmarkRSA2048Sign-16        	     951	   1276377 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     168	   7441425 ns/op	   38656 B/op	      56 allocs/op
BenchmarkRSA2048Verify-16      	   34298	     35940 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Verify-16      	    2379	    477014 ns/op	   61520 B/op	      98 allocs/op
BenchmarkRSA2048Encrypt-16     	   32235	     38537 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    2443	    502992 ns/op	   61520 B/op	      98 allocs/op
BenchmarkECDSAP256Sign-16      	   50978	     22893 ns/op	    2376 B/op	      30 allocs/op
BenchmarkECDSAP256Verify-16    	   18154	     68380 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1516412	       792.0 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     928	   1261499 ns/op	    2000 B/op	      12 allocs/op
