run,system,order,naive_ms_median51,local_ms_median51,ratio_reported,ratio_from_shown_ms
1,tarantool,naive-first,80.943,1.520,53.26,53.25
1,tarantool,local-first,70.039,1.045,67.01,67.02
1,ignite,naive-first,259.996,135.349,1.92,1.92
1,ignite,local-first,220.941,135.357,1.63,1.63
2,tarantool,local-first,28.226,0.504,56.05,56.00
2,tarantool,naive-first,29.826,0.504,59.19,59.18
2,ignite,local-first,228.279,246.295,0.93,0.93
2,ignite,naive-first,260.135,273.249,0.95,0.95
3,tarantool,naive-first,29.437,0.506,58.22,58.18
3,tarantool,local-first,28.344,0.506,56.05,56.02
3,ignite,naive-first,240.704,256.856,0.94,0.94
3,ignite,local-first,222.717,248.350,0.90,0.90
4,tarantool,local-first,62.125,0.613,101.28,101.35
4,tarantool,naive-first,69.054,0.561,122.98,123.09
4,ignite,local-first,225.771,147.311,1.53,1.53
4,ignite,naive-first,233.555,154.550,1.51,1.51
5,tarantool,naive-first,28.321,0.522,54.22,54.25
5,tarantool,local-first,29.865,0.507,58.93,58.91
5,ignite,naive-first,228.669,139.866,1.63,1.63
5,ignite,local-first,243.124,139.986,1.74,1.74
6,tarantool,local-first,30.034,0.505,59.47,59.47
6,tarantool,naive-first,28.790,0.508,56.63,56.67
6,ignite,local-first,226.384,144.965,1.56,1.56
6,ignite,naive-first,216.432,134.502,1.61,1.61
