# ITER=20000000 REPEATS=5
# запуск: 2026-07-31 16:22 UTC
механизм	повтор	время_с	пик_RSS_КБ
baseline	1	0.38	1904
baseline	2	0.39	1908
baseline	3	0.48	1796
baseline	4	0.39	1812
baseline	5	0.41	1844
malloc_check	1	1.18	1768
malloc_check	2	1.18	1820
malloc_check	3	1.02	1848
malloc_check	4	1.43	1900
malloc_check	5	1.17	1816
tunables	1	1.36	1916
tunables	2	1.13	1904
tunables	3	1.31	1848
tunables	4	1.33	1916
tunables	5	3.61	1848
perturb	1	0.39	1816
perturb	2	0.37	1912
perturb	3	0.36	1916
perturb	4	0.36	1816
perturb	5	0.38	1896
hardened	1	3.35	32584
hardened	2	3.44	32732
hardened	3	3.33	32584
hardened	4	3.09	34420
hardened	5	3.62	32800
scudo	1	1.44	2500
scudo	2	1.59	2512
scudo	3	1.48	2540
scudo	4	1.32	2472
scudo	5	1.52	2532
asan	1	10.75	405568
asan	2	8.32	407380
asan	3	8.08	407532
asan	4	10.68	409336
asan	5	8.82	405512
# run_id=20260731T162201Z
